HPO_ICD10_ID	HPO_IDs	HPO_Strings	HPO_Syns	ICD10	ICD10_UKBB
HPO_ICD:19	HP:0000824;HP:0000839;HP:0000044;HP:0008202;HP:0040075;HP:0008213;HP:0000871;HP:0000830	Prolactin deficiency; Pituitary dwarfism; Gonadotropin deficiency; Panhypopituitarism; Hypogonadotrophic hypogonadism; Growth hormone deficiency; Hypopituitarism; Anterior hypopituitarism	Pituitary gonadotropin deficiency; Hypogonadism, hypogonadotropic; Isolated hypogonadotropic hypogonadism; Somatotropin deficiency; Low gonadotropins (secondary hypogonadism); Growth hormone deficiency	E230	E230
HPO_ICD:20	HP:0012870;HP:0000046;HP:0030276	Small scrotum; Vanishing testis; Scrotal hypoplasia	Hypoplastic scrotum; Small scrotum; Vanishing testis; Underdeveloped scrotum; Testicular regression syndrome; Smaller than typical growth of scrotum	Q551	Q551
HPO_ICD:21	HP:0003244;HP:0000051;HP:0008743;HP:0012853;HP:0000808;HP:0000807;HP:0000047	Scrotal hypospadias; Perineal hypospadias; Penile hypospadias; Coronal hypospadias; Penoscrotal hypospadias; Glandular hypospadias; Hypospadias	Hypospadia; Subcoronal hypospadias	Q540;Q542;Q543;Q548;Q549;Q541	Q540;Q542;Q543;Q548;Q549;Q541
HPO_ICD:22	HP:0000048;HP:0008707;HP:0008715	Testicular dysgenesis; Bifid scrotum; Absent scrotum	Scrotal cleft; Cleft of scrotum; Absent scrotum	Q5529	Q552
HPO_ICD:23	HP:0000054;HP:0030260;HP:0008736	Micropenis; Hypoplasia of penis; Microphallus	Short penis; Small penis; Underdeveloped penis	Q5562	Q556
HPO_ICD:24	HP:0000062	Ambiguous genitalia	Ambiguous external genitalia at birth; Ambiguous external genitalia; Intersex genitalia	Q564	Q564
HPO_ICD:25	HP:0000072	Hydroureter	Uroureter; Swelling of ureter; Megaureter; Ureteral dilatation	N2882;N134	N288;N134
HPO_ICD:26	HP:0012572;HP:0000073	Ureter duplex; Ureteral duplication	Double ureter	Q625	Q625
HPO_ICD:27	HP:0006000;HP:0005200;HP:0000071;HP:0000074	Ureteral stenosis; Ureteropelvic junction obstruction; Ureteral obstruction; Retroperitoneal fibrosis	Pelviureteric junction obstruction; Narrowing of the ureter	Q6239;N135	N135;Q623
HPO_ICD:28	HP:0000075	Renal duplication	Supernumerary kidney; Extra kidney	Q630	Q630
HPO_ICD:29	HP:0000076	Vesicoureteral reflux	Ureteric reflux; Ureteral reflux; Vesicoureteric reflux	N1370	N137
HPO_ICD:30	HP:0000077;HP:0000112;HP:0012210	Abnormal renal morphology; Abnormality of the kidney; Nephropathy	Renal anomalies; Abnormal kidney morphology; Kidney structure issue; Abnormally shaped kidney; Renal malformation; Kidney disease; Abnormal kidney; Structural kidney abnormalities; Structural renal anomalies; Abnormality of the kidney; Renal anomaly; Kidney malformation; Structural anomalies of the renal tract; Kidney damage	N289;N08;Q639	Q639;N289
HPO_ICD:31	HP:0000083	Renal insufficiency	Renal failure; Renal failure in adulthood	N19;N289	N19;N289
HPO_ICD:32	HP:0000125;HP:0004717;HP:0000086;HP:0004712	Ectopic kidney; Pelvic kidney; Axial malrotation of the kidney; Renal malrotation	Abnormal rotation of the kidneys; Displaced kidney; Sacral kidney; Renal ectopia; Abnormal kidney location; Malrotation of the kidney; Ectopic kidneys	Q632	Q632
HPO_ICD:33	HP:0000089;HP:0008660	Renal hypoplasia; Renotubular dysgenesis	Underdeveloped kidneys; Renal tubular dysgenesis; Small kidneys; Hypoplastic kidney; Hypoplastic kidneys	Q605	Q605
HPO_ICD:34	HP:0012594;HP:0000093;HP:0030156;HP:0012593;HP:0012592	Bence Jones Proteinuria; Proteinuria; Nephrotic range proteinuria; Albuminuria; Microalbuminuria	High urine albumin levels; High urine protein levels; Protein in urine	R809;R803;R808;R801;R800	R80
HPO_ICD:35	HP:0000097	Focal segmental glomerulosclerosis	Focal and segmental glomerular sclerosis; focal glomerulosclerosis; Focal and segmental glomerulosclerosis	N051	N051
HPO_ICD:36	HP:0000098	Tall stature	Accelerated linear growth; Increased body height; Increased linear growth; Tall stature	E344	E344
HPO_ICD:37	HP:0000123;HP:0000099;HP:0100820	Nephritis; Glomerulopathy; Glomerulonephritis	Kidney inflammation; Diseased glomeruli; Glomerular nephritis	N059;N08	N059
HPO_ICD:38	HP:0000100	Nephrotic syndrome	Nephrosis	N049	N049
HPO_ICD:39	HP:0000103	Polyuria	Increased urine output	R358	R35
HPO_ICD:40	HP:0000104	Renal agenesis	Missing kidney; Renal aplasia; Absent kidney	Q602	Q602
HPO_ICD:41	HP:0000105	Enlarged kidney	Renal enlargement; Large kidneys; Nephromegaly; Enlarged kidney; Large kidney	N2881	N288
HPO_ICD:42	HP:0000107	Renal cyst	Renal cysts; Kidney cyst; Cystic kidneys; Cystic kidney disease	N281	N281
HPO_ICD:43	HP:0000121;HP:0012409;HP:0012408;HP:0008327	Cortical nephrocalcinosis; Nephrocalcinosis; Microscopic nephrocalcinosis; Medullary nephrocalcinosis	Too much calcium deposited in kidneys; Increased calcium level in kidney	N29;E8359	E835
HPO_ICD:44	HP:0000122	Unilateral renal agenesis	Single kidney; Missing one kidney; Absent kidney on one side; Unilateral kidney agenesis	Q600	Q600
HPO_ICD:45	HP:0000124	Renal tubular dysfunction	Renal tubular disease; Abnormal function of filtrating structures in kidney; Renal tubular defect	N259	N259
HPO_ICD:46	HP:0000126	Hydronephrosis		N1339;N131;N132;N1330	N131;N132;N133
HPO_ICD:47	HP:0000130	Abnormality of the uterus	Abnormality of the uterus; Uterine malformations; Uterine abnormalities	Q519	Q519
HPO_ICD:48	HP:0010614;HP:0000131;HP:0100804;HP:0009730;HP:0100882;HP:0009724	Fibroma; Subungual fibromas; Uterine leiomyoma; Rhabdomyoma; Fibrous hamartoma; Ungual fibroma	Koenen's tumor; Parungual fibromas; Periungual fibroma; Koenen tumor; Benign uterine leiomyomas; Fibrous hamartoma of infancy; Subungual fibroma; Uterine fibroid	D219;D259	D219;D259
HPO_ICD:49	HP:0400007;HP:0000132	Polymenorrhea; Menorrhagia	Abnormally heavy bleeding during menstruation; Hypermenorrhea	N920	N920
HPO_ICD:50	HP:0000133	Gonadal dysgenesis	Mixed gonadal dysgenesis; Pure gonadal dysgenesis	Q963;Q969;Q962;Q961;Q968;Q964;Q960	Q963;Q969;Q962;Q961;Q968;Q964;Q960
HPO_ICD:51	HP:0000137	Abnormality of the ovary	Abnormality of the ovary; Abnormality of the ovaries; Ovarian disease	N839	N839
HPO_ICD:52	HP:0000138;HP:0012886	Hemorrhagic ovarian cyst; Ovarian cyst	Cystic abnormalities of the ovaries; Cystic ovaries; Ovarian cystic abnormality; Ovarian cyst	N83209	
HPO_ICD:53	HP:0000139	Uterine prolapse	Sagging uterus	N814	N814
HPO_ICD:54	HP:0000143	Rectovaginal fistula	Abnormal connection between rectum and vagina	N823	N823
HPO_ICD:55	HP:0000144	Decreased fertility	Decreased fertility; Abnormal fertility	R3989	R398
HPO_ICD:56	HP:0000145	Transverse vaginal septum	Transverse vaginal membrane	Q5211	Q521
HPO_ICD:57	HP:0000147	Polycystic ovaries	Sclerocystic ovaries; Polycystic ovary; Polycystic ovary disease	E282	E282
HPO_ICD:58	HP:0003250;HP:0000148;HP:0012674	Aplasia of the lower vagina; Vaginal atresia; Aplasia of the vagina	Congenital absence of the vagina; Absent lower vagina; Agenesis of the lower vagina; Abnormally closed or absent vagina; Absent vagina	Q520	Q520
HPO_ICD:59	HP:0000149	Ovarian gonadoblastoma	Gonadoblastoma, female	D3910	D391
HPO_ICD:60	HP:0000153	Abnormality of the mouth	Abnormal mouth; Abnormality of the mouth	Q386	Q386
HPO_ICD:61	HP:0000154	Wide mouth	Macrostomia; Large oral aperture; Large mouth; Wide mouth; Broad mouth	Q184	Q184
HPO_ICD:62	HP:0000155;HP:0010280	Stomatitis; Oral ulcer	Mouth sore; Mouth ulcer; Inflammation of the mouth; Gingivostomatitis	K121	K121
HPO_ICD:63	HP:0012473;HP:0000158	Macroglossia; Tongue atrophy	Atrophy of the tongue; Hyperplasia of the tongue; Wasting of the tongue; Lingual atrophy; Abnormally large tongue; Lingual hyperplasia; Large tongue; Lingual wasting; Glossal hypertrophy; Increased size of tongue; Lingual hypertrophy; Hypertrophy of the tongue; Tongue hypertrophy	K148;Q382	K148;Q382
HPO_ICD:64	HP:0000160	Narrow mouth	Small oral aperture; Microstomia; Narrow mouth; Small mouth	Q185	Q185
HPO_ICD:65	HP:0000161	Median cleft lip	Midline cleft lip; Central cleft upper lip	Q361	Q361
HPO_ICD:66	HP:0006482;HP:0000164	Abnormality of the dentition; Abnormality of dental morphology	Abnormal teeth; Abnormality of dental shape; Abnormality of the teeth; Dental problem; Malformed teeth; Abnormality of shape of tooth; Abnormal dentition; Dental malformations; Malformation of teeth; Tooth abnormalities; Deformity of teeth; Abnormally shaped teeth; Dental abnormalities; Misshapen teeth; Dental abnormality; Dental anomalies; Misshapened teeth; Dental problems; Dental deformity	K009	K009
HPO_ICD:67	HP:0000169;HP:0000212	Gingival fibromatosis; Gingival overgrowth	Gingival fibroma; Gum hypertrophy; Oral soft tissue hyperplasia; Hypertrophic gingivitis; Hereditary gingival fibromatosis; Gum enlargement; Gingival hyperplasia; Gingival enlargement; Gingival fibrous nodules; Idiopathic gingival hyperplasia	K061	K061
HPO_ICD:68	HP:0010297;HP:0000162;HP:0012730;HP:0000171;HP:0000180	Lobulated tongue; Bifid tongue; Aglossia; Glossoptosis; Microglossia	Small tongue; Absence of tongue; Underdevelopment of the tongue; Split tongue; Lingual retraction; Missing tongue; Lingual hypoplasia; Rudimentary tongue; Posterior displacement of the tongue; Bifurcated tongue; Hypoplastic tongue; Cleft tongue; Abnormally small tongue; Decreased size of tongue; Bumpy tongue; Lobulate tongue; Hypoplasia of the tongue; Failure of development of tongue; Hypoglossia; Snake tongue; Retraction of the tongue; Lingual lobules; Forked tongue	Q383;K148	Q383;K148
HPO_ICD:69	HP:0000176;HP:0000175;HP:0410003;HP:0410005;HP:0000185	Cleft soft palate; Cleft hard palate; Submucous cleft hard palate; Cleft maxillary alveolus; Cleft palate	Cleft muscular palate; Cleft anterior maxilla; Cleft secondary palate; Cleft alveolar process of maxilla; Alveolar cleft; Cleft roof of mouth; Cleft of soft palate; Cleft of hard palate; Cleft bony palate; Cleft of hard and soft palate; Cleft velum; Partial thickness cleft hard palate; Submucosal cleft palate; Cleft hard and soft palate; Cleft primary palate; Uranostaphyloschisis; Cleft of palate; Palatoschisis; Submucous clefting; Cleft palate	Q355;Q353;Q359;Q351	Q355;Q353;Q359;Q351
HPO_ICD:70	HP:0000193	Bifid uvula	Split uvula; Uvula bifida; Forked uvula; Cleft uvula; Bifid palatine uvula	Q357	Q357
HPO_ICD:71	HP:0000200;HP:0010296	Short lingual frenulum; Ankyloglossia	Tongue tied; Short tongue frenum; Hypoplasia of lingual frenum; Short tongue frenulum; Hypoplasia of tongue frenulum; Short lingual frenum; Deficiency of lingual frenulum; Tight lingual frenulum; Hypoplasia of tongue frenum; Tongue tie; Hypoplasia of lingual frenulum	Q381	Q381
HPO_ICD:72	HP:0009914;HP:0000201	Pierre-Robin sequence; Cyclopia	Pierre Robin sequence; Pierre-robin anomaly; Cyclops eye; Single central eye; Pierre-robin malformation; Pierre-robin deformity; Robin sequence	Q870	Q870
HPO_ICD:73	HP:0000202	Oral cleft	Cleft lip/palate; Cleft of the mouth; Cleft lip, cleft palate; Oral clefting	Q379	Q379
HPO_ICD:74	HP:0100333;HP:0000204	Cleft upper lip; Unilateral cleft lip	Harelip; Unilateral cheiloschisis; One sided cleft upper lip; Cheiloschisis of upper lip; Cleft of upper lip; Unilateral cleft upper lip; Cleft upper lip	Q369	Q369
HPO_ICD:75	HP:0000206	Glossitis	Lingual inflammation; Smooth swollen tongue; Inflammation of the tongue	K140	K140
HPO_ICD:76	HP:0000217;HP:0002307;HP:0003781	Drooling; Excessive salivation; Xerostomia	Dry mouth syndrome; Watery mouth; Reduced salivation; Ptyalism; Drooling; Dry mouth; Decreased salivary flow; Oversalivation; Excessive production of saliva; Mouth watering; Dribbling; Sialorrhea; Excessive salivation; Hypersalivation	K117	K117
HPO_ICD:77	HP:0010292;HP:0000218	High palate; Absent uvula	Missing uvula; Increased palatal height; High palate; Agenesis of uvula; High, arched palate; Uvula aplasia; Absent palatine uvula; Elevated palate; High-arched palate; Congenital absence of uvula	Q385	Q385
HPO_ICD:78	HP:0040184;HP:0000220	Velopharyngeal insufficiency; Oral bleeding	Velopharyngeal dysfunction; Oral hemorrhage; Velopharyngeal incompetence; Oral bleeding	K1379	K137
HPO_ICD:79	HP:0000221;HP:0002711	Furrowed tongue; Exaggerated median tongue furrow	Grooved tongue; Deep central tongue groove; Plicated tongue; Deep median tongue furrow; Scrotal tongue; Fissured tongue; Deep median lingual furrow; Lingue plicata; Lingual furrow; Deep median tongue groove; Deep central lingual groove; Deep median lingual groove; Deep central lingual furrow; Deep central tongue furrow; Prominent tongue grooves; Exaggerated median lingual furrow	K145	K145
HPO_ICD:80	HP:0000224	Decreased taste sensation	Decreased taste; Lost taste; Decreased taste sensation	R438	R438
HPO_ICD:81	HP:0000230	Gingivitis	Gingival inflammation; Red and swollen gums; Inflamed gums	K0510	K051
HPO_ICD:82	HP:0002396;HP:0003552;HP:0005486;HP:0000239;HP:0002682;HP:0000455;HP:0003391;HP:0001252;HP:0011444;HP:0030664;HP:0040263;HP:0000298;HP:0003698;HP:0011833;HP:0011832;HP:0004428;HP:0002063;HP:0003375;HP:0002304	Narrow greater sacrosciatic notches; Rigidity; Decorticate rigidity; Broad nasal tip; Akinesia; Jaw ankylosis; Beevor's sign; Narrow nasal tip; Muscle stiffness; Small fontanelle; Broad skull; Difficulty standing; Overhanging nasal tip; Muscular hypotonia; Mask-like facies; Cogwheel rigidity; Elfin facies; Gowers sign; Large fontanelles	Nasal tip, broad; Little cranial sutures; Wide skull; Large fontanelle; Broad tip of nose; Leprechaun facies; Increased breadth of nasal tip; Low or weak muscle tone; Increased breadth of tip of nose; Increased width of cranium; Difficulty opening mouth; Thin nasal tip; Elf-like facial features; Muscle rigidity; Rigidity; Large, late-closing fontanelle; Small cranial sutures; Gower sign; Thin tip of nose; Elf-like facial appearance; Nasal tip, wide; Persistent wide fontanel; Broad nasal tip; Broad upturned nose; Nasal tip, overhanging; Narrow nasal tip; Wide bregma sutures; Masklike facies; Difficulty in standing; Increased width of tip of nose; Narrowed greater sciatic notch; Broad cranium; Broad skull; Large fontanel; Nasal tip, pinched; Narrow sacrosciatic notch; Small sacrosciatic notch; Enlarged fontanelles; Narrow tip of nose; Increased width of skull; Positive Gowers sign; Small soft spot; Lack of facial expression; Microfontanelle; Small bregma sutures; Low hanging nasal tip; Hooked tip of nose; Wide cranium; Overhanging nasal tip; Amimia; Small sacrosciatic notches; Drooping nasal tip; Expressionless face; Pinched tip of nose; Large bregma sutures; Nasal tip, narrow; Broad, upturned nose; Positive Gower sign; Pinched nasal tip; Little fontanelle; Standing instability; Narrow sciatic notches; Large fontanels; Increased width of nasal tip; Muscle hypotonia; Wide tip of nose; Narrowed sacrosciatic notch; Mask-like facial appearance; Wide fontanelles	R29898	
HPO_ICD:83	HP:0000246;HP:0011109	Chronic sinusitis; Sinusitis	Sinusitis, chronic; Sinus infection; Chronic sinus disease; Sinus inflammation; Sinus disease	J329;J349	J329
HPO_ICD:84	HP:0000252	Microcephaly	Decreased size of skull; small cranium; Decreased size of cranium; Small head circumference; Reduced head circumference; Small skull; Abnormally small cranium; Decreased circumference of cranium; Abnormally small skull; Small head; small calvarium; Decreased size of head; Abnormally small head	Q02	Q02
HPO_ICD:85	HP:0000255	Acute sinusitis		J0190;J0191	J019
HPO_ICD:86	HP:0000265	Mastoiditis		H7093;H7091;H7090;H7092	H709
HPO_ICD:87	HP:0030799;HP:0000268	Dolichocephaly; Scaphocephaly	Narrow cranium shape; Tall and narrow skull; Long, narrow head; Narrow skull shape; Turridolichocephaly; Large dolichocephalic skull; Narrow head shape	Q672	Q672
HPO_ICD:88	HP:0000448;HP:0012671;HP:0000273;HP:0100557;HP:0003546	Facial grimacing; Hemiatrophy of lower limb; Exercise intolerance; Abulia; Prominent nose	Asymmetric lower limb shortening; Facial grimacing; Inability to exercise; Big nose; Nasal hyperplasia; Hyperplasia of nose; Disproportionately large nose; Hypertrophy of nose; Poor exercise tolerance; Increased nasal size; Nasal hypertrophy; Decreased ability to exercise; Large nose; Prominent nose; Pronounced nose; Aboulia; Increased size of nose	R6889	R688
HPO_ICD:89	HP:0000303	Mandibular prognathia	Enlargement of mandible; Big lower jaw; Prominent jaw; Prominent mandible; Big mandible; Hyperplasia of lower jaw; Enlarged mandible; Mandibular macrognathia; Increased projection of lower jaw; Macromandible; Mandibular hyperplasia; Mandible prognathism; Prominent chin; Increased size of lower jaw; Lower jaw excess; Prognathia; Large mandible; Lower jaw hyperplasia; Large lower jaw; Mandibular excess; Increased projection of mandible; Hypertrophy of mandible; Increased size of mandible; Prognathism; Hypertrophy of lower jaw; Relative mandibular prognathism; Mandibular prognathism; Prominent lower jaw	M2619;M2603;M26213	
HPO_ICD:90	HP:0000327	Hypoplasia of the maxilla	Hypotrophic maxilla; Small upper jaw bones; Maxillary hypoplasia; Hypoplasia of upper jaw bones; Decreased size of maxilla; Maxillary retrognathia; Decreased size of upper jaw; Micromaxilla; Retrusion of upper jaw bones; Upper jaw retrusion; Maxillary deficiency; Maxillary micrognathia; Small upper jaw; Decreased projection of maxilla; Hypotrophic upper jaw bones; Deficiency of upper jaw bones; Hypoplastic maxillary bones; Decreased projection of upper jaw; Maxillary retrusion; Small maxilla; Upper jaw deficiency; Retrognathia of upper jaw	M2602	
HPO_ICD:91	HP:0000331;HP:0400000;HP:0009939;HP:0005446	Obtuse angle of mandible; Mandibular aplasia; Tall chin; Short chin	Tall chin; Agnathia; Failure of development of lower jaw; Aplasia of the lower jaw bone; Vertical excess of chin; Vertical deficiency of chin; Absence of lower jaw bones; Long chin; Absence of lower jaw bone; Short chin; Short lower third of face; Long lower third of face; Missing lower jaw; Failure of development of mandible; Vertical hypoplasia of chin; Steep mandibular plane angle; Decreased height of chin; Absence of mandible; Absence of lower jaw; Small chin; Increased height of chin; Vertical hyperplasia of chin; Absent mandible; Agenesis of the mandible; Increased height of menton region; High mandibular plane angle	M2689	
HPO_ICD:92	HP:0000338;HP:0000817	Hypomimic face; Poor eye contact	Hypomimia; Decreased facial muscle movement; Decreased facial expressions; Dull facial expression; Poor eye contact	R41841	
HPO_ICD:93	HP:0000598;HP:0000356	Abnormality of the outer ear; Abnormality of the ear	Malformed pinnae; Abnormality of the auricle; Ear anomaly; Ear anomalies; Abnormal pinnae; Abnormality of the outer ear; Abnormality of the external ear; Outer ear abnormality; External ear malformations; Abnormality of the ear	Q179	Q179
HPO_ICD:94	HP:0000358;HP:0000369	Posteriorly rotated ears; Low-set ears	Ear, posterior angulation, increased; Posteriorly angulated ears; Lowset ears; Posteriorly-angulated ears; Posteriorly-rotated ears; Posteriorly rotated auricles; Ears rotated toward back of head; Low set ears; Low-set ears; Melotia; Posteriorly rotated	Q174	Q174
HPO_ICD:95	HP:0000360;HP:0008629	Tinnitus; Pulsatile tinnitus	Ringing in ears; Ringing in the ears	H9312;H9313;H9319;H9311	H931
HPO_ICD:96	HP:0000362	Otosclerosis		H8093;H8090;H8091;H8092	H809
HPO_ICD:97	HP:0000365;HP:0012714;HP:0000407;HP:0008527;HP:0008542	Severe hearing impairment; Sensorineural hearing impairment; Congenital sensorineural hearing impairment; Low-frequency hearing loss; Hearing impairment	Congenital sensorineural deafness; Congenital sensorineural hearing loss; Congenital deafness; Severe hearing impairment; Congenital hearing loss; Deafness; Hearing defect; Severe deafness; Hearing loss, congenital sensorineural; Sensorineural deafness; Hearing impairment; Low-frequency hearing loss; Severe hearing loss; Bilateral congenital sensorineural deafness; Hearing loss, sensorineural; Hearing loss; Congenital neurosensory deafness; Hypoacusis; Congenital perceptive deafness; Sensorineural hearing loss	H9193;H9192;H9190;H9191;H905	H919;H905
HPO_ICD:98	HP:0000377;HP:0011252	Cryptotia; Abnormality of the pinna	Malformation of auricle; Dysplastic ears; Auricular malformation; Abnormally shaped ears; Hidden ear; Deformed auricles; Buried ear; Malformed auricles; Minor malformation of the auricles; Malformed external ears; Simple ears; Deformed ears; Poorly defined conchae; Abnormal form of ears; Malformed ears	Q178	Q178
HPO_ICD:99	HP:0000389;HP:0000388;HP:0000371	Chronic otitis media; Acute otitis media; Otitis media	Middle ear infection; Chronic middle ear infection; Chronic ear infection; Otitis media, chronic; Chronic infections of the middle ear; Acute middle ear infection	H6690;H6692;H6693;H6691	H669
HPO_ICD:100	HP:0002265;HP:0000400	Macrotia; Large fleshy ears	Large fleshy ears; Large pinnae; Large ears	Q171;H61899	Q171
HPO_ICD:101	HP:0000402	Stenosis of the external auditory canal	Narrowing of passageway from outer ear to middle ear; Narrow auditory canals; Stenotic external auditory canal; Narrow external auditory meatus; Narrow external auditory canals; External auditory canal stenosis; Narrow ear canal	H61899;H61309	
HPO_ICD:102	HP:0000405	Conductive hearing impairment	Conduction deafness; Hearing loss, conductive; Conductive hearing loss; Conductive deafness	H902	H902
HPO_ICD:103	HP:0000410	Mixed hearing impairment	Mixed hearing loss; Hearing loss, mixed; Mixed hearing impairment	H908	H908
HPO_ICD:104	HP:0000394;HP:0000411	Protruding ear; Lop ear	Prominent ear; Prominent ears; Protruding ears	H61119;Q175	Q175
HPO_ICD:105	HP:0004406;HP:0000421	Spontaneous, recurrent epistaxis; Epistaxis	Nose bleeding; Recurrent epistaxis; Recurrent epistaxes; Bloody nose; Spontaneous, recurrent nosebleed; Nosebleed; Recurring nosebleed; Frequent nosebleeds	R040	R040
HPO_ICD:106	HP:0000453	Choanal atresia	Blockage of the rear opening of the nasal cavity; Obstruction of the rear opening of the nasal cavity	Q300	Q300
HPO_ICD:107	HP:0030831;HP:0009931;HP:0030829;HP:0000446;HP:0000445;HP:0009933;HP:0030207;HP:0012416;HP:0012195;HP:0000454;HP:0000431;HP:0003196;HP:0030876;HP:0030863;HP:0030864;HP:0030849;HP:0000460;HP:0040213;HP:0030830	Intercostal retractions; Hypopnea; Wide nasal bridge; Flared nostrils; Irregular respiration; Hepatojugular reflux; Narrow nose; Nasal flaring; Abnormal breath sound; Increased pulmonary capillary wedge pressure; Short nose; Narrow nasal bridge; Wide nose; Rhonchi; Crackles; Narrow naris; Enlarged naris; Paradoxical respiration; Hypercapnia	Thin nostrils; Broad nostril; Shortened nose; Slit-like nostrils; Nasal bridge, thin; Decreased nasal breadth; Pinched bridge of nose; Flail chest; Rales; Wide bridge of nose; Increased breadth of nasal bridge; Decreased length of nose; Narrow bridge of nose; Wide nostril; Wide nasal bridge; Flared nostrils; Increased breadth of bridge of nose; Nasal bridge broad; Thin nares; Narrow nose; Increased diameter of nares; Narrow nares; Broad nose; Increased width of nasal bridge; Enlarged nares; Collapsed nostrils; Paradoxical breathing; Increased nasal width; Broad nasal root; Increased width of bridge of nose; Broad flat nasal bridge; Wide nares; Small nostrils; Thin nose; Broadened nasal bridge; Increased width of nose; Hypoplastic nose; High blood carbon dioxide level; Naris, slit-like; Short nose; Small nose; Narrow nasal bridge; Wide nose; Widened nasal bridge; Increased pulmonary arterial wedge pressure; Increased nasal breadth; Increased width of nares; Naris, narrow; Naris, broad; Pinched nasal bridge; Dilated nares; Dilated nostril; Broad nasal bridge; Narrow nasal root; Narrow nostrils; Naris, enlarged; Nasal hypoplasia; Irregular respiratory rhythm; Nasal Bridge, Narrow; Large nares; Increased breadth of nose; Enlarged nostril; Increased pulmonary artery occlusion pressure; Nasal bridge, wide; Flared nasal alae; Chest retractions; Hypercarbia; Crepitations; Decreased nasal width; Increased diameter of nostril	R0989;R0689	R098;R068
HPO_ICD:108	HP:0000456;HP:0011803	Bifid nose; Bifid nasal tip	Notched nasal tip; Cleft nose; Indentation or clefting of the nose; Notched tip of nose; Bifid nasal bridge; Indented bridge of nose; Bifid tip of nose; Cleft nasal tip; Cleft nasal bridge; Cleft tip of nose	Q302	Q302
HPO_ICD:109	HP:0000458	Anosmia	Lost smell	R430	R430
HPO_ICD:110	HP:0000464;HP:0000271;HP:0001999;HP:0008443;HP:0002650	Abnormal facial shape; Abnormality of the face; Abnormality of the neck; Spinal deformities; Scoliosis	Abnormality of the physiognomy; Abnormal face; Curved spine; Abnormality of the visage; Dysmorphic facial features; Dysmorphic facies; Unusual facial appearance; Facial dysmorphism; Abnormal facial shape; Anomaly of the face; Abnormal morphology of the face; Deformity of the neck; Malformation of the neck; Disorder of the face; Facial anomaly; Unusual facies; Abnormality of the face; Curvature of spine; Abnormal curving of the spine; Distortion of face; Funny looking face; Facial abnormality; Deformity of face; Malformation of face; Disorder of face; Anomaly of the neck; Anomaly of face; Distinctive facies; Abnormality of the countenance; Abnormality of the neck	Q189;M439	Q189
HPO_ICD:111	HP:0000465	Webbed neck	Webbed neck; Neck webbing; Pterygium colli	Q183	Q183
