HPO_ICD10_ID	HPO_IDs	HPO_Strings	HPO_Syns	ICD10
HPO_ICD:55	HP:0000144	Decreased fertility	Decreased fertility; Abnormal fertility	R3989
HPO_ICD:56	HP:0000145	Transverse vaginal septum	Transverse vaginal membrane	Q5211
HPO_ICD:57	HP:0000147	Polycystic ovaries	Polycystic ovary; Polycystic ovary disease; Sclerocystic ovaries	E282
HPO_ICD:58	HP:0000148;HP:0012674;HP:0003250	Aplasia of the vagina; Aplasia of the lower vagina; Vaginal atresia	Abnormally closed or absent vagina; Congenital absence of the vagina; Absent vagina; Agenesis of the lower vagina; Absent lower vagina	Q520
HPO_ICD:59	HP:0000149	Ovarian gonadoblastoma	Gonadoblastoma, female	D3910
HPO_ICD:60	HP:0000153	Abnormality of the mouth	Abnormality of the mouth; Abnormal mouth	Q386
HPO_ICD:61	HP:0000154	Wide mouth	Macrostomia; Broad mouth; Large oral aperture; Large mouth; Wide mouth	Q184
HPO_ICD:62	HP:0010280;HP:0000155	Stomatitis; Oral ulcer	Mouth sore; Gingivostomatitis; Mouth ulcer; Inflammation of the mouth	K121
HPO_ICD:63	HP:0000158;HP:0012473	Macroglossia; Tongue atrophy	Glossal hypertrophy; Large tongue; Lingual hyperplasia; Lingual atrophy; Tongue hypertrophy; Hyperplasia of the tongue; Atrophy of the tongue; Increased size of tongue; Lingual hypertrophy; Hypertrophy of the tongue; Abnormally large tongue; Wasting of the tongue; Lingual wasting	K148;Q382
HPO_ICD:64	HP:0000160	Narrow mouth	Narrow mouth; Microstomia; Small mouth; Small oral aperture	Q185
HPO_ICD:65	HP:0000161	Median cleft lip	Central cleft upper lip; Midline cleft lip	Q361
HPO_ICD:66	HP:0006482;HP:0000164	Abnormality of dental morphology; Abnormality of the dentition	Abnormality of dental shape; Abnormality of shape of tooth; Misshapened teeth; Dental anomalies; Abnormality of the teeth; Abnormal teeth; Abnormal dentition; Dental problem; Deformity of teeth; Dental malformations; Abnormally shaped teeth; Malformed teeth; Dental deformity; Dental abnormality; Dental problems; Dental abnormalities; Misshapen teeth; Tooth abnormalities; Malformation of teeth	K009
HPO_ICD:67	HP:0000212;HP:0000169	Gingival fibromatosis; Gingival overgrowth	Oral soft tissue hyperplasia; Gingival hyperplasia; Gingival fibrous nodules; Gum enlargement; Gingival enlargement; Hereditary gingival fibromatosis; Hypertrophic gingivitis; Gum hypertrophy; Gingival fibroma; Idiopathic gingival hyperplasia	K061
HPO_ICD:68	HP:0010297;HP:0000180;HP:0000171;HP:0000162;HP:0012730	Bifid tongue; Lobulated tongue; Aglossia; Microglossia; Glossoptosis	Missing tongue; Abnormally small tongue; Lingual lobules; Small tongue; Split tongue; Decreased size of tongue; Forked tongue; Bumpy tongue; Posterior displacement of the tongue; Hypoplasia of the tongue; Absence of tongue; Snake tongue; Lingual retraction; Underdevelopment of the tongue; Cleft tongue; Lobulate tongue; Failure of development of tongue; Lingual hypoplasia; Hypoglossia; Retraction of the tongue; Bifurcated tongue; Rudimentary tongue; Hypoplastic tongue	K148;Q383
HPO_ICD:69	HP:0000185;HP:0000176;HP:0410003;HP:0000175;HP:0410005	Cleft maxillary alveolus; Submucous cleft hard palate; Cleft hard palate; Cleft palate; Cleft soft palate	Cleft primary palate; Cleft roof of mouth; Palatoschisis; Uranostaphyloschisis; Alveolar cleft; Cleft of soft palate; Cleft muscular palate; Partial thickness cleft hard palate; Cleft of hard palate; Cleft alveolar process of maxilla; Submucosal cleft palate; Cleft palate; Cleft of palate; Cleft of hard and soft palate; Cleft velum; Submucous clefting; Cleft secondary palate; Cleft hard and soft palate; Cleft anterior maxilla; Cleft bony palate	Q353;Q351;Q359;Q355
HPO_ICD:70	HP:0000193	Bifid uvula	Bifid palatine uvula; Uvula bifida; Forked uvula; Split uvula; Cleft uvula	Q357
HPO_ICD:71	HP:0000200;HP:0010296	Short lingual frenulum; Ankyloglossia	Hypoplasia of lingual frenum; Short tongue frenulum; Tight lingual frenulum; Tongue tie; Hypoplasia of tongue frenum; Hypoplasia of lingual frenulum; Hypoplasia of tongue frenulum; Tongue tied; Short lingual frenum; Deficiency of lingual frenulum; Short tongue frenum	Q381
HPO_ICD:72	HP:0009914;HP:0000201	Cyclopia; Pierre-Robin sequence	Pierre-robin deformity; Robin sequence; Pierre-robin anomaly; Single central eye; Cyclops eye; Pierre-robin malformation; Pierre Robin sequence	Q870
HPO_ICD:73	HP:0000202	Oral cleft	Cleft of the mouth; Cleft lip/palate; Cleft lip, cleft palate; Oral clefting	Q379
HPO_ICD:74	HP:0000204;HP:0100333	Unilateral cleft lip; Cleft upper lip	Cleft upper lip; Cheiloschisis of upper lip; Unilateral cheiloschisis; Harelip; One sided cleft upper lip; Cleft of upper lip; Unilateral cleft upper lip	Q369
HPO_ICD:75	HP:0000206	Glossitis	Smooth swollen tongue; Inflammation of the tongue; Lingual inflammation	K140
HPO_ICD:76	HP:0003781;HP:0002307;HP:0000217	Excessive salivation; Xerostomia; Drooling	Excessive salivation; Oversalivation; Sialorrhea; Dry mouth syndrome; Decreased salivary flow; Hypersalivation; Watery mouth; Reduced salivation; Dry mouth; Mouth watering; Ptyalism; Dribbling; Excessive production of saliva; Drooling	K117
HPO_ICD:77	HP:0010292;HP:0000218	High palate; Absent uvula	Congenital absence of uvula; High palate; Absent palatine uvula; Missing uvula; Agenesis of uvula; High-arched palate; Uvula aplasia; High, arched palate; Increased palatal height; Elevated palate	Q385
HPO_ICD:78	HP:0000220;HP:0040184	Velopharyngeal insufficiency; Oral bleeding	Velopharyngeal dysfunction; Oral hemorrhage; Oral bleeding; Velopharyngeal incompetence	K1379
HPO_ICD:79	HP:0000221;HP:0002711	Furrowed tongue; Exaggerated median tongue furrow	Fissured tongue; Exaggerated median lingual furrow; Plicated tongue; Scrotal tongue; Deep median lingual groove; Deep median tongue furrow; Deep median lingual furrow; Deep central lingual groove; Deep central tongue furrow; Lingue plicata; Deep median tongue groove; Deep central lingual furrow; Lingual furrow; Deep central tongue groove; Prominent tongue grooves; Grooved tongue	K145
HPO_ICD:80	HP:0000224	Decreased taste sensation	Decreased taste; Lost taste; Decreased taste sensation	R438
HPO_ICD:81	HP:0000230	Gingivitis	Gingival inflammation; Red and swollen gums; Inflamed gums	K0510
HPO_ICD:82	HP:0011833;HP:0003391;HP:0004428;HP:0002396;HP:0000455;HP:0011444;HP:0005486;HP:0030664;HP:0001252;HP:0040263;HP:0003698;HP:0002063;HP:0003552;HP:0000298;HP:0002682;HP:0011832;HP:0002304;HP:0000239;HP:0003375	Gowers sign; Small fontanelle; Overhanging nasal tip; Rigidity; Decorticate rigidity; Narrow greater sacrosciatic notches; Elfin facies; Jaw ankylosis; Muscle stiffness; Large fontanelles; Difficulty standing; Narrow nasal tip; Mask-like facies; Broad nasal tip; Akinesia; Beevor's sign; Muscular hypotonia; Broad skull; Cogwheel rigidity	Standing instability; Mask-like facial appearance; Leprechaun facies; Small soft spot; Narrow sciatic notches; Wide bregma sutures; Muscle hypotonia; Large fontanelle; Broad skull; Increased breadth of tip of nose; Pinched tip of nose; Difficulty in standing; Nasal tip, overhanging; Small bregma sutures; Masklike facies; Overhanging nasal tip; Broad, upturned nose; Pinched nasal tip; Narrow tip of nose; Nasal tip, wide; Increased breadth of nasal tip; Microfontanelle; Positive Gower sign; Wide fontanelles; Amimia; Rigidity; Muscle rigidity; Little cranial sutures; Lack of facial expression; Elf-like facial features; Expressionless face; Nasal tip, narrow; Wide skull; Enlarged fontanelles; Increased width of tip of nose; Hooked tip of nose; Narrowed greater sciatic notch; Wide cranium; Thin tip of nose; Broad tip of nose; Narrow nasal tip; Wide tip of nose; Low or weak muscle tone; Difficulty opening mouth; Drooping nasal tip; Nasal tip, pinched; Small cranial sutures; Large bregma sutures; Small sacrosciatic notches; Large fontanel; Persistent wide fontanel; Positive Gowers sign; Increased width of cranium; Broad nasal tip; Elf-like facial appearance; Little fontanelle; Increased width of skull; Narrow sacrosciatic notch; Gower sign; Large, late-closing fontanelle; Low hanging nasal tip; Nasal tip, broad; Thin nasal tip; Small sacrosciatic notch; Narrowed sacrosciatic notch; Increased width of nasal tip; Broad cranium; Large fontanels; Broad upturned nose	R29898
HPO_ICD:83	HP:0000246;HP:0011109	Chronic sinusitis; Sinusitis	Sinusitis, chronic; Sinus inflammation; Chronic sinus disease; Sinus disease; Sinus infection	J329;J349
HPO_ICD:84	HP:0000252	Microcephaly	Small head circumference; Abnormally small head; Small head; small cranium; small calvarium; Decreased size of skull; Small skull; Abnormally small cranium; Decreased circumference of cranium; Reduced head circumference; Decreased size of head; Decreased size of cranium; Abnormally small skull	Q02
HPO_ICD:85	HP:0000255	Acute sinusitis		J0190;J0191
HPO_ICD:86	HP:0000265	Mastoiditis		H7090;H7093;H7092;H7091
HPO_ICD:87	HP:0000268;HP:0030799	Dolichocephaly; Scaphocephaly	Turridolichocephaly; Tall and narrow skull; Narrow cranium shape; Narrow skull shape; Large dolichocephalic skull; Long, narrow head; Narrow head shape	Q672
HPO_ICD:88	HP:0000273;HP:0012671;HP:0003546;HP:0000448;HP:0100557	Prominent nose; Hemiatrophy of lower limb; Exercise intolerance; Facial grimacing; Abulia	Nasal hyperplasia; Aboulia; Increased nasal size; Pronounced nose; Large nose; Inability to exercise; Disproportionately large nose; Prominent nose; Facial grimacing; Nasal hypertrophy; Decreased ability to exercise; Big nose; Hyperplasia of nose; Poor exercise tolerance; Increased size of nose; Hypertrophy of nose; Asymmetric lower limb shortening	R6889
HPO_ICD:89	HP:0000303	Mandibular prognathia	Relative mandibular prognathism; Enlargement of mandible; Prognathia; Large mandible; Prominent lower jaw; Increased size of lower jaw; Enlarged mandible; Hypertrophy of mandible; Hypertrophy of lower jaw; Lower jaw excess; Big mandible; Mandibular hyperplasia; Macromandible; Mandibular excess; Large lower jaw; Increased projection of mandible; Increased projection of lower jaw; Prominent chin; Hyperplasia of lower jaw; Lower jaw hyperplasia; Mandible prognathism; Increased size of mandible; Mandibular macrognathia; Prognathism; Prominent mandible; Big lower jaw; Prominent jaw; Mandibular prognathism	M2619;M2603;M26213
HPO_ICD:90	HP:0000327	Hypoplasia of the maxilla	Hypotrophic maxilla; Maxillary hypoplasia; Small upper jaw; Hypoplasia of upper jaw bones; Hypotrophic upper jaw bones; Small maxilla; Retrusion of upper jaw bones; Decreased size of upper jaw; Deficiency of upper jaw bones; Maxillary retrognathia; Maxillary micrognathia; Hypoplastic maxillary bones; Maxillary deficiency; Upper jaw deficiency; Small upper jaw bones; Decreased size of maxilla; Maxillary retrusion; Retrognathia of upper jaw; Decreased projection of upper jaw; Upper jaw retrusion; Decreased projection of maxilla; Micromaxilla	M2602
HPO_ICD:91	HP:0000331;HP:0400000;HP:0009939;HP:0005446	Mandibular aplasia; Tall chin; Obtuse angle of mandible; Short chin	Absence of lower jaw; Missing lower jaw; Long chin; Agenesis of the mandible; Short lower third of face; Failure of development of mandible; Increased height of chin; Failure of development of lower jaw; Agnathia; Vertical excess of chin; High mandibular plane angle; Vertical hyperplasia of chin; Decreased height of chin; Increased height of menton region; Small chin; Absence of lower jaw bones; Steep mandibular plane angle; Vertical hypoplasia of chin; Vertical deficiency of chin; Long lower third of face; Tall chin; Absence of lower jaw bone; Aplasia of the lower jaw bone; Absence of mandible; Short chin; Absent mandible	M2689
HPO_ICD:92	HP:0000817;HP:0000338	Poor eye contact; Hypomimic face	Decreased facial expressions; Hypomimia; Decreased facial muscle movement; Dull facial expression; Poor eye contact	R41841
HPO_ICD:93	HP:0000356;HP:0000598	Abnormality of the ear; Abnormality of the outer ear	Abnormality of the ear; Ear anomaly; Abnormal pinnae; Malformed pinnae; Outer ear abnormality; Abnormality of the external ear; Abnormality of the auricle; Abnormality of the outer ear; External ear malformations; Ear anomalies	Q179
HPO_ICD:94	HP:0000369;HP:0000358	Low-set ears; Posteriorly rotated ears	Lowset ears; Melotia; Posteriorly-angulated ears; Posteriorly rotated; Posteriorly angulated ears; Low set ears; Ears rotated toward back of head; Posteriorly rotated auricles; Low-set ears; Posteriorly-rotated ears; Ear, posterior angulation, increased	Q174
HPO_ICD:95	HP:0008629;HP:0000360	Tinnitus; Pulsatile tinnitus	Ringing in ears; Ringing in the ears	H9312;H9319;H9311;H9313
HPO_ICD:96	HP:0000362	Otosclerosis		H8090;H8092;H8093;H8091
HPO_ICD:97	HP:0012714;HP:0008527;HP:0000365;HP:0000407;HP:0008542	Congenital sensorineural hearing impairment; Severe hearing impairment; Low-frequency hearing loss; Sensorineural hearing impairment; Hearing impairment	Hearing loss, congenital sensorineural; Sensorineural hearing loss; Congenital deafness; Hearing loss, sensorineural; Congenital hearing loss; Hearing loss; Sensorineural deafness; Hearing defect; Low-frequency hearing loss; Congenital neurosensory deafness; Bilateral congenital sensorineural deafness; Congenital sensorineural hearing loss; Hypoacusis; Severe hearing impairment; Hearing impairment; Deafness; Severe deafness; Congenital sensorineural deafness; Congenital perceptive deafness; Severe hearing loss	H9193;H9191;H905;H9190;H9192
HPO_ICD:98	HP:0011252;HP:0000377	Cryptotia; Abnormality of the pinna	Poorly defined conchae; Malformed auricles; Malformed ears; Dysplastic ears; Hidden ear; Auricular malformation; Abnormally shaped ears; Simple ears; Abnormal form of ears; Malformed external ears; Buried ear; Deformed auricles; Deformed ears; Minor malformation of the auricles; Malformation of auricle	Q178
HPO_ICD:99	HP:0000371;HP:0000389;HP:0000388	Chronic otitis media; Acute otitis media; Otitis media	Acute middle ear infection; Chronic infections of the middle ear; Otitis media, chronic; Middle ear infection; Chronic ear infection; Chronic middle ear infection	H6693;H6692;H6691;H6690
HPO_ICD:100	HP:0000400;HP:0002265	Large fleshy ears; Macrotia	Large fleshy ears; Large ears; Large pinnae	H61899;Q171
HPO_ICD:101	HP:0000402	Stenosis of the external auditory canal	Narrow ear canal; Stenotic external auditory canal; Narrow external auditory meatus; Narrow external auditory canals; Narrow auditory canals; External auditory canal stenosis; Narrowing of passageway from outer ear to middle ear	H61309;H61899
HPO_ICD:102	HP:0000405	Conductive hearing impairment	Conductive deafness; Conductive hearing loss; Conduction deafness; Hearing loss, conductive	H902
HPO_ICD:103	HP:0000410	Mixed hearing impairment	Mixed hearing loss; Mixed hearing impairment; Hearing loss, mixed	H908
HPO_ICD:104	HP:0000411;HP:0000394	Protruding ear; Lop ear	Protruding ears; Prominent ear; Prominent ears	Q175;H61119
HPO_ICD:105	HP:0000421;HP:0004406	Epistaxis; Spontaneous, recurrent epistaxis	Spontaneous, recurrent nosebleed; Bloody nose; Nosebleed; Recurring nosebleed; Recurrent epistaxis; Frequent nosebleeds; Nose bleeding; Recurrent epistaxes	R040
HPO_ICD:106	HP:0000453	Choanal atresia	Blockage of the rear opening of the nasal cavity; Obstruction of the rear opening of the nasal cavity	Q300
HPO_ICD:107	HP:0012195;HP:0040213;HP:0030207;HP:0030831;HP:0000431;HP:0030830;HP:0030876;HP:0000460;HP:0000446;HP:0003196;HP:0012416;HP:0009931;HP:0009933;HP:0000445;HP:0030849;HP:0000454;HP:0030863;HP:0030864;HP:0030829	Nasal flaring; Crackles; Enlarged naris; Wide nose; Narrow naris; Intercostal retractions; Narrow nose; Increased pulmonary capillary wedge pressure; Irregular respiration; Hypercapnia; Wide nasal bridge; Paradoxical respiration; Rhonchi; Short nose; Hypopnea; Flared nostrils; Narrow nasal bridge; Abnormal breath sound; Hepatojugular reflux	Small nostrils; Nasal bridge broad; Thin nose; Increased width of bridge of nose; Collapsed nostrils; Increased nasal breadth; Paradoxical breathing; Narrow nares; Nasal bridge, thin; Irregular respiratory rhythm; Flail chest; Thin nares; Naris, broad; High blood carbon dioxide level; Dilated nostril; Enlarged nares; Naris, slit-like; Thin nostrils; Nasal hypoplasia; Hypercarbia; Narrow nostrils; Dilated nares; Increased diameter of nostril; Decreased nasal breadth; Increased breadth of nose; Wide nose; Rales; Pinched nasal bridge; Naris, enlarged; Hypoplastic nose; Wide nostril; Increased width of nares; Slit-like nostrils; Widened nasal bridge; Large nares; Narrow nose; Increased diameter of nares; Enlarged nostril; Pinched bridge of nose; Naris, narrow; Broad nostril; Broadened nasal bridge; Chest retractions; Wide nasal bridge; Crepitations; Increased pulmonary arterial wedge pressure; Wide bridge of nose; Decreased length of nose; Nasal Bridge, Narrow; Narrow bridge of nose; Short nose; Increased width of nose; Wide nares; Increased breadth of bridge of nose; Increased breadth of nasal bridge; Nasal bridge, wide; Broad flat nasal bridge; Flared nostrils; Broad nasal root; Small nose; Decreased nasal width; Narrow nasal bridge; Flared nasal alae; Increased pulmonary artery occlusion pressure; Broad nasal bridge; Shortened nose; Narrow nasal root; Broad nose; Increased width of nasal bridge; Increased nasal width	R0689;R0989
HPO_ICD:108	HP:0011803;HP:0000456	Bifid nose; Bifid nasal tip	Bifid nasal bridge; Cleft nose; Cleft tip of nose; Bifid tip of nose; Indentation or clefting of the nose; Notched nasal tip; Cleft nasal bridge; Cleft nasal tip; Notched tip of nose; Indented bridge of nose	Q302
HPO_ICD:109	HP:0000458	Anosmia	Lost smell	R430
HPO_ICD:110	HP:0000464;HP:0000271;HP:0002650;HP:0008443;HP:0001999	Abnormality of the face; Abnormal facial shape; Scoliosis; Spinal deformities; Abnormality of the neck	Anomaly of the face; Abnormal morphology of the face; Unusual facies; Dysmorphic facial features; Abnormal facial shape; Disorder of the face; Disorder of face; Abnormal curving of the spine; Curvature of spine; Distinctive facies; Unusual facial appearance; Dysmorphic facies; Abnormality of the visage; Facial abnormality; Anomaly of face; Abnormality of the face; Funny looking face; Abnormality of the neck; Curved spine; Facial dysmorphism; Distortion of face; Deformity of the neck; Facial anomaly; Malformation of face; Abnormality of the physiognomy; Deformity of face; Abnormal face; Abnormality of the countenance; Malformation of the neck; Anomaly of the neck	M439;Q189
HPO_ICD:111	HP:0000465	Webbed neck	Neck webbing; Pterygium colli; Webbed neck	Q183
HPO_ICD:112	HP:0000470;HP:0004474;HP:0001476	Short neck; Delayed closure of the anterior fontanelle; Persistent open anterior fontanelle	Late closure of large anterior fontanel; Short neck; Late closure of soft spot on the skull; Anterior fontanelle open in adults; Persistent, open anterior fontanel; Decreased length of neck; Cervical shortening; Decreased cervical length; Later than typical closing of soft spot of skull; Delayed closure of the soft spot on the skull; Decreased cervical height; Delayed closure anterior fontanel; Front fontanelle stays open; Delayed closure of the bregma sutures; Late closure of anterior fontanelle; Persistent anterior fontanelle; Late closure of the bregma sutures; Delayed closure of anterior fontanelle	M8928
HPO_ICD:113	HP:0002544;HP:0000473	Retrocollis; Torticollis	Wry neck; Cervical dystonia; Spasmodic torticollis; Loxia	M436
HPO_ICD:114	HP:0100764;HP:0000476	Cystic hygroma; Lymphangioma	Cystic hygroma of the neck	D181
HPO_ICD:115	HP:0000478	Abnormality of the eye	Abnormality of the eye; Abnormal eye; Eye disease	H449;Q159;H579
HPO_ICD:116	HP:0000567;HP:0031613;HP:0000480	Inferior chorioretinal coloboma; Retinal coloboma; Chorioretinal coloboma	Choroid coloboma; Hole in the back of the eye; Birth defect that causes a hole in the innermost layer at the back of the eye; Coloboma of choroid; Choroidal coloboma; Choroidoretinal coloboma	Q148
